Price,Close,High,Low,Open,Volume,Returns
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,
Date,,,,,,
2018-05-14,44.37192153930664,44.69737182030801,44.30353163892593,44.57473780741277,83115200,-0.0023336396192448206
2018-05-15,43.968658447265625,44.117234231162634,43.652643426187645,44.048840718550096,94780800,-0.009088249461628228
2018-05-16,44.379005432128906,44.445041913162775,43.864891761356354,43.88140178124538,76732400,0.009332715605945507
2018-05-17,44.0983772277832,44.551175778740514,43.949801410031135,44.336567063881525,69176000,-0.006323445097815017
2018-05-18,43.937992095947266,44.29174116474425,43.895543934982,44.14552603450174,73190800,-0.003636984894194506
2018-05-21,44.249305725097656,44.63607134090016,44.079505835377276,44.33656270229301,73603200,0.007085294850765589
2018-05-22,44.138450622558594,44.54408316939165,44.0488330417285,44.426166815045335,60962800,-0.002505239364155476
2018-05-23,44.42145538330078,44.45447182320738,43.808288815295995,43.94743286781569,80233600,0.006411751131960797
2018-05-24,44.37192153930664,44.534646679807324,43.91440911918023,44.51814026186224,92936000,-0.0011150882735995182
2018-05-25,44.47333526611328,44.725674408100176,44.254008962832486,44.39079237378272,69844000,0.002285538315414337
2018-05-29,44.31296920776367,44.51342847074933,44.07006178001697,44.24222226649526,90056400,-0.0036058923260429143
2018-05-30,44.218650817871094,44.33656722005208,44.04885091084863,44.27053432271257,74762000,-0.0021284601681814674
2018-05-31,44.07005310058594,44.39078569908275,43.897896246535225,44.152595980505154,109931200,-0.0033605212854006528
2018-06-01,44.86482620239258,44.869540266724215,44.27760132608851,44.334202484769676,93770000,0.018034312325257318
2018-06-04,45.23979949951172,45.614772730208344,45.12660078050418,45.19499069863809,105064800,0.008357845752652082
2018-06-05,45.588829040527344,45.73740482688072,45.36478864422395,45.53223148269539,86264000,0.007715099201962561
2018-06-06,45.74684143066406,45.77042614795653,45.26102648202931,45.664302117185684,83734400,0.003466033093244114
2018-06-07,45.62421417236328,45.798728137869944,45.360078994572234,45.78457874591241,85388800,-0.0026805622960142106
2018-06-08,45.209144592285156,45.27989514815871,44.753989040222194,45.08415350293508,106627200,-0.009097572146887556
2018-06-11,45.098297119140625,45.27281465481039,44.85775029790672,45.12659949697931,73234000,-0.002451881674475409
