Price,Date,Close,High,Low,Open,Volume,Returns,Log_Returns
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL,,
1,2018-01-03,40.29716110229492,40.83998007240303,40.23399097485094,40.367353702932206,118071600,-0.00017415173670454198,-0.00017416690287907656
2,2018-01-04,40.48432540893555,40.58727404295443,40.262051896472606,40.36967741738859,89738400,0.004644602783940632,0.004633849898828647
3,2018-01-05,40.94525909423828,41.03182792816311,40.48901263550257,40.58026192724971,94640000,0.011385485138922347,0.011321158304014636
4,2018-01-08,40.793174743652344,41.08797929939686,40.6949029882612,40.793174743652344,82271200,-0.003714333574881157,-0.003721248840881154
5,2018-01-09,40.78850173950195,40.959300980537996,40.57324707008062,40.83997607024875,86336000,-0.00011455357862577564,-0.00011456014038808398
6,2018-01-10,40.77913284301758,40.781474856775525,40.47730939010454,40.514745908802524,95839600,-0.00022969454833643432,-0.00022972093216942782
7,2018-01-11,41.01076889038086,41.05990476936201,40.825931873561046,40.84932702105531,74670800,0.005680259270224752,0.005664187430292651
8,2018-01-12,41.43427276611328,41.49744646821115,41.09735111511696,41.22135650469974,101672400,0.01032665046745218,0.010273694869796714
9,2018-01-16,41.22369384765625,41.972406559387096,41.211994486349994,41.623785585266006,118263600,-0.005082240000824911,-0.005095198506674512
10,2018-01-17,41.904541015625,41.9396355168708,40.96163066730062,41.21431821655548,137547200,0.01651591850271461,0.016381014074531023
11,2018-01-18,41.941978454589844,42.13851839305448,41.705667123879905,41.96771561497552,124773600,0.0008933981391392454,0.0008929992965542084
12,2018-01-19,41.75481033325195,42.01685887036376,41.50913804463785,41.78990484442101,129700400,-0.004462548697852564,-0.004472535590698756
13,2018-01-22,41.413211822509766,41.59571043645508,41.3196240713074,41.48340442098347,108434400,-0.008181057655772705,-0.00821470615382255
14,2018-01-23,41.42255783081055,41.98409489474454,41.371087080839246,41.48339306556889,130756400,0.00022567697334929804,0.00022565151213174963
15,2018-01-24,40.762760162353516,41.48339714467017,40.52410679746099,41.47169778528601,204420400,-0.015928462726806036,-0.016056684091547337
16,2018-01-25,40.03511047363281,40.93356571913233,39.899405738092184,40.83061705285022,166116000,-0.01785084439381812,-0.01801209254240166
17,2018-01-26,40.128692626953125,40.243340638442135,39.78943262048329,40.243340638442135,156572000,0.002337502062894181,0.0023347743548023906
18,2018-01-29,39.298095703125,39.81283544569889,39.089859933941504,39.81283544569889,202561600,-0.020698330034062518,-0.020915542991920864
19,2018-01-30,39.06644821166992,39.16003592639561,38.53532882673834,38.72952672642949,184192800,-0.005894623831267709,-0.005912065702278248
20,2018-01-31,39.174068450927734,39.410383289520105,38.95647543693015,39.04304423990011,129915600,0.0027547996857739676,0.002751012179406003
21,2018-02-01,39.25597381591797,39.452510199787405,39.0173204525661,39.113250200696385,188923200,0.002090805684194841,0.002088622991851186
22,2018-02-02,37.55266189575195,39.026692329053304,37.459074135284396,38.83951323797398,346375200,-0.04338987814067008,-0.044359366713799406
